case_id,family,variant,scope,method,label,prediction,calls,witnesses
file_write__clean__r001,file_write,clean,clean,random_relational_fuzzing,False,False,10,
file_write__clean__r001,file_write,clean,clean,cep,False,False,10,
file_write__clean__r002,file_write,clean,clean,document_trust,False,False,0,
file_write__clean__r002,file_write,clean,clean,nominal_repeat,False,False,10,
file_write__clean__r002,file_write,clean,clean,random_relational_fuzzing,False,False,10,
file_write__clean__r002,file_write,clean,clean,cep,False,False,10,
file_write__clean__r003,file_write,clean,clean,document_trust,False,False,0,
file_write__clean__r003,file_write,clean,clean,nominal_repeat,False,False,10,
file_write__clean__r003,file_write,clean,clean,random_relational_fuzzing,False,False,10,
file_write__clean__r003,file_write,clean,clean,cep,False,False,10,
file_write__clean__r004,file_write,clean,clean,document_trust,False,False,0,
file_write__clean__r004,file_write,clean,clean,nominal_repeat,False,False,10,
file_write__clean__r004,file_write,clean,clean,random_relational_fuzzing,False,False,10,
file_write__clean__r004,file_write,clean,clean,cep,False,False,10,
file_write__clean_declared_audit__r000,file_write,clean_declared_audit,clean,document_trust,False,False,0,
file_write__clean_declared_audit__r000,file_write,clean_declared_audit,clean,nominal_repeat,False,False,10,
file_write__clean_declared_audit__r000,file_write,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_audit__r000,file_write,clean_declared_audit,clean,cep,False,False,10,
file_write__clean_declared_audit__r001,file_write,clean_declared_audit,clean,document_trust,False,False,0,
file_write__clean_declared_audit__r001,file_write,clean_declared_audit,clean,nominal_repeat,False,False,10,
file_write__clean_declared_audit__r001,file_write,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_audit__r001,file_write,clean_declared_audit,clean,cep,False,False,10,
file_write__clean_declared_audit__r002,file_write,clean_declared_audit,clean,document_trust,False,False,0,
file_write__clean_declared_audit__r002,file_write,clean_declared_audit,clean,nominal_repeat,False,False,10,
file_write__clean_declared_audit__r002,file_write,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_audit__r002,file_write,clean_declared_audit,clean,cep,False,False,10,
file_write__clean_declared_audit__r003,file_write,clean_declared_audit,clean,document_trust,False,False,0,
file_write__clean_declared_audit__r003,file_write,clean_declared_audit,clean,nominal_repeat,False,False,10,
file_write__clean_declared_audit__r003,file_write,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_audit__r003,file_write,clean_declared_audit,clean,cep,False,False,10,
file_write__clean_declared_audit__r004,file_write,clean_declared_audit,clean,document_trust,False,False,0,
file_write__clean_declared_audit__r004,file_write,clean_declared_audit,clean,nominal_repeat,False,False,10,
file_write__clean_declared_audit__r004,file_write,clean_declared_audit,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_audit__r004,file_write,clean_declared_audit,clean,cep,False,False,10,
file_write__clean_declared_cache__r000,file_write,clean_declared_cache,clean,document_trust,False,False,0,
file_write__clean_declared_cache__r000,file_write,clean_declared_cache,clean,nominal_repeat,False,False,10,
file_write__clean_declared_cache__r000,file_write,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_cache__r000,file_write,clean_declared_cache,clean,cep,False,False,10,
file_write__clean_declared_cache__r001,file_write,clean_declared_cache,clean,document_trust,False,False,0,
file_write__clean_declared_cache__r001,file_write,clean_declared_cache,clean,nominal_repeat,False,False,10,
file_write__clean_declared_cache__r001,file_write,clean_declared_cache,clean,random_relational_fuzzing,False,False,10,
file_write__clean_declared_cache__r001,file_write,clean_declared_cache,clean,cep,False,False,10,
file_write__clean_declared_cache__r002,file_write,clean_declared_cache,clean,document_trust,False,False,0,
file_write__clean_declared_cache__r002,file_write,clean_declared_cache,clean,nominal_repeat,False,False,10,
